"","Year","Device","Action","Adventure","Fighting","Misc","Platform","Puzzle","Racing","Role-Playing","Shooter","Simulation","Sports","Strategy","Sales"
"59","2000","XB",0,0,0,0,0,0,0,0,0,0,0.99,0,0.99
"60","2001","DC",0.04,0.48,0.17,0,0.12,0,0.07,0.19,0,0,0,0,1.07
"61","2001","GB",3.65,1.86,0,0,0.07,0,0,2.77,0,0,0,0.89,9.24
"62","2001","GBA",5.72,2.85,1.04,5.93,21.16,5.93,7.84,3.51,0.75,0.06,3.51,3.32,61.62
"63","2001","GC",3.6,0.26,7.07,0.1,2.74,1.46,1.48,0,0,5.05,2.91,1.63,26.3
"64","2001","N64",0.16,0,0,0,0.77,0.42,0,0.1,0,0.31,1.5,0,3.26
"65","2001","PC",0.06,0,0,0,0,0,0,1.06,0.02,4.04,0.03,0.3,5.51
"66","2001","PS",9.82,2.57,2.74,1.18,1.16,0.19,3.17,3.27,2.8,0.17,7.62,0.83,35.52
"67","2001","PS2",35.06,1.1,5.33,7.73,12.17,0,38.55,10.91,12.8,9.49,32.74,0.55,166.43
"68","2001","WS",0,0,0,0,0,0,0,0.25,0,0,0,0.03,0.28
"69","2001","XB",1.28,0,1.77,1.46,1.09,0,4.7,0,8.4,0.42,3.12,0,22.24
"70","2002","DC",0,0.29,0,0,0,0,0,0,0,0,0,0,0.29
"71","2002","GBA",14.86,0.84,1.11,3.56,18.9,1.1,2.09,24.52,1.4,0.43,5.24,0.33,74.38
"72","2002","GC",11.03,2.93,2.93,5.85,9.93,1.91,2.87,1.06,7.26,0.29,5.16,0.71,51.93
"73","2002","N64",0,0,0,0,0,0,0,0,0,0,0.08,0,0.08
"74","2002","PC",0.09,0,0,0,0,0,0,0.04,0.05,6.89,0,1.52,8.59
"75","2002","PS",2.62,0.09,0.76,0,0.23,0,0.24,0.34,2.07,0.06,0.28,0,6.69
"76","2002","PS2",46.66,6.04,17.48,5.36,14.63,2.21,20.33,16.03,27.75,1.42,44.56,2.93,205.4
"77","2002","XB",11.5,0.86,2.74,0.9,2.28,0.12,4.67,3.14,10.05,1.72,10.1,0.07,48.15
"78","2003","GBA",10.62,0.37,1.34,3.89,17.38,1.28,3.33,9.22,0.62,2.57,3.62,2.49,56.73
"79","2003","GC",5.83,0.45,5.02,4.59,6.41,0.77,12.9,6.48,1.26,1.95,4.84,0.16,50.66
"80","2003","PC",0.05,0.04,0,0,0.03,0,0.05,0.34,0.12,4.15,2.27,1.86,8.91
"81","2003","PS",0,0,0,1.63,0,0,0,0,0,0,0.42,0,2.05
"82","2003","PS2",40.32,1.16,14.62,12.48,16.24,0.14,27.2,11.24,15.12,9.81,33.2,2.76,184.29
"83","2003","XB",11.11,0.12,2.75,1.23,2.83,0.23,8.71,2.98,10.01,2.71,11.76,0.72,55.16
"84","2004","DS",0.49,0.06,0,0.34,10.3,3.27,1.56,0,0,0.8,0.45,0,17.27
"85","2004","GBA",13.12,6.22,0.72,11.15,13.98,3.03,3.37,20.9,0.66,1.63,2.23,1.08,78.09
"86","2004","GC",5.38,0.16,1.42,2.46,5.14,0.01,1.36,3.8,2.96,0.4,4.45,1.35,28.89
"87","2004","PC",0.04,0.02,0,0,0,0,0.14,6.33,2.91,0.29,0.04,0.64,10.41
"88","2004","PS2",49.4,1.68,10.97,13.05,15.79,0.73,32.78,16.83,21.61,6.39,40.9,1.65,211.78
"89","2004","PSP",0.51,0,0.15,0.74,0,1.29,1.4,0.14,0,0.05,1.96,0.87,7.11
